bag,flipper,gait,run,axis,samples,raw_min,raw_max,clean_min,clean_max,clean_p0_5,clean_p99_5,average_interval_source,average_duration_s,clean_abs_mean,clean_abs_impulse_ns,clean_abs_p99_5,clean_abs_max,max_to_p99_5_ratio,abs_peak_time_s
rib_flipper_vansh_experimental_sinusoidalYaw_2_rib_flipper.bag,rib_flipper,experimental_sinusoidalYaw,2,Fx,87740,-4.600422382354736,3.6109817028045654,-3.7776124477386475,3.1692054271698,-3.7776124477386475,3.1692054271698,servo_activity,8.32002854347229,1.8361406395177646,15.276742530617266,3.7776124477386475,3.7776124477386475,1.0,0.04443359375
rib_flipper_vansh_experimental_sinusoidalYaw_2_rib_flipper.bag,rib_flipper,experimental_sinusoidalYaw,2,Fy,87740,-8.603472709655762,5.863857746124268,-6.352370262145996,2.958989143371582,-6.3335676193237305,2.958989143371582,servo_activity,8.32002854347229,2.4694220168548666,20.5456616661114,6.3335676193237305,6.352370262145996,1.0029687285195943,1.6877079010009766
rib_flipper_vansh_experimental_sinusoidalYaw_2_rib_flipper.bag,rib_flipper,experimental_sinusoidalYaw,2,Fz,87740,-6.742531776428223,3.133859634399414,-3.9425957202911377,0.7681513428688049,-3.920436382293701,0.7681513428688049,servo_activity,8.32002854347229,1.026749925654965,8.54258868845736,3.920436382293701,3.9425957202911377,1.0056522631249718,1.4136803150177002
rib_flipper_vansh_experimental_sinusoidalYaw_2_rib_flipper.bag,rib_flipper,experimental_sinusoidalYaw,2,Net,87740,0.04155975952744484,8.888223648071289,0.1292262721697821,7.071550295488437,0.21278216265761565,7.019589822975063,servo_activity,8.32002854347229,3.574281445509435,29.738123649041896,7.019589822975063,7.071550295488437,1.0074022092207306,7.726322650909424
rib_flipper_vansh_experimental_sinusoidalYaw_3_rib_flipper.bag,rib_flipper,experimental_sinusoidalYaw,3,Fx,87780,-5.473302364349365,3.656259775161743,-3.2521445751190186,1.4759292602539062,-3.2271454334259033,1.4754512310028076,servo_activity,8.279828548431396,1.2950509442874614,10.72279978018436,3.2271454334259033,3.2521445751190186,1.0077465184661902,0.3594319820404053
rib_flipper_vansh_experimental_sinusoidalYaw_3_rib_flipper.bag,rib_flipper,experimental_sinusoidalYaw,3,Fy,87780,-10.132209777832031,8.456570625305176,-6.471117973327637,6.722201824188232,-6.451632976531982,6.722201824188232,servo_activity,8.279828548431396,3.0029283445948054,24.863731836469903,6.722201824188232,6.722201824188232,1.0,7.160150766372681
rib_flipper_vansh_experimental_sinusoidalYaw_3_rib_flipper.bag,rib_flipper,experimental_sinusoidalYaw,3,Fz,87780,-8.655128479003906,2.6679368019104004,-4.330859184265137,0.6582522392272949,-4.288447380065918,0.6565649509429932,servo_activity,8.279828548431396,1.155414073819766,9.56663043367232,4.288447380065918,4.330859184265137,1.0098897807155947,1.5797936916351318
rib_flipper_vansh_experimental_sinusoidalYaw_3_rib_flipper.bag,rib_flipper,experimental_sinusoidalYaw,3,Net,87780,0.0156821571290493,10.281902313232422,0.05703285514092543,7.342658305248287,0.12905015553214347,7.328815586217572,servo_activity,8.279828548431396,3.8042829507433655,31.49881058187575,7.328815586217572,7.342658305248287,1.0018888071159475,7.262495040893555
rib_flipper_vansh_experimental_sinusoidalYaw_4_rib_flipper.bag,rib_flipper,experimental_sinusoidalYaw,4,Fx,85840,-4.132047653198242,5.185808181762695,-2.8401167392730713,2.475346326828003,-2.8401167392730713,2.282268970012652,servo_activity,8.16007924079895,0.9927832256057544,8.101189789878937,2.8401167392730713,2.8401167392730713,1.0,0.32108473777770996
rib_flipper_vansh_experimental_sinusoidalYaw_4_rib_flipper.bag,rib_flipper,experimental_sinusoidalYaw,4,Fy,85840,-8.82783031463623,9.075651168823242,-6.862186431884766,6.566399574279785,-6.827527046203613,6.566399574279785,servo_activity,8.16007924079895,3.4179502770292003,27.890745101668998,6.827527046203613,6.862186431884766,1.0050764186573855,1.201807975769043
